Date,Open,High,Low,Close,Adj Close,Volume
2016-01-19,867.900024,868.400024,826.000000,845.549988,822.642639,2443365
2016-01-20,834.000000,856.000000,830.000000,840.349976,817.583496,2247202
2016-01-21,850.000000,856.000000,841.000000,844.450012,821.572388,1138753
2016-01-22,853.000000,873.400024,849.200012,869.950012,846.381592,1774017
2016-01-25,870.000000,882.000000,868.150024,878.599976,854.797119,1794107
2016-01-27,880.000000,881.799988,855.150024,858.549988,835.290405,969509
2016-01-28,854.000000,865.000000,852.150024,858.950012,835.679565,1392051
2016-01-29,864.000000,875.000000,859.000000,869.900024,846.333008,1320575
2016-02-01,874.200012,890.000000,871.299988,887.400024,863.358826,786217
2016-02-02,889.900024,894.750000,878.000000,882.500000,858.591492,920875
2016-02-03,876.200012,883.950012,859.049988,863.700012,840.300903,540771
2016-02-04,865.000000,895.950012,865.000000,889.349976,865.255920,1658831
2016-02-05,889.000000,903.450012,886.400024,899.250000,874.887756,1739178
2016-02-08,903.000000,907.500000,886.000000,888.599976,864.526367,783143
2016-02-09,884.900024,894.299988,878.500000,884.200012,860.245544,636386
2016-02-10,888.500000,889.000000,866.500000,876.549988,852.802856,707101
2016-02-11,874.750000,874.750000,852.000000,855.700012,832.517639,1004015
2016-02-12,860.000000,873.250000,846.500000,854.900024,831.739319,1089266
