"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ASIANPAINT","EQ","29-Nov-2018","       1324.25","       1336.00","       1355.00","       1330.70","       1351.15","       1350.30","       1348.53","    3556169","          4795600010.10","      63223","    2780865","         78.20"
"ASIANPAINT","EQ","30-Nov-2018","       1350.30","       1352.80","       1361.75","       1342.15","       1348.65","       1345.95","       1349.23","    1030541","          1390438870.45","      43153","     492687","         47.81"
"ASIANPAINT","EQ","03-Dec-2018","       1345.95","       1345.00","       1359.00","       1335.05","       1344.65","       1338.70","       1343.23","     710748","           954698796.20","      45014","     311180","         43.78"
"ASIANPAINT","EQ","04-Dec-2018","       1338.70","       1336.55","       1354.70","       1326.45","       1330.00","       1329.45","       1335.68","     830261","          1108961001.25","      52603","     487855","         58.76"
"ASIANPAINT","EQ","05-Dec-2018","       1329.45","       1328.50","       1343.00","       1323.60","       1328.20","       1329.50","       1330.83","     864628","          1150675415.30","      40092","     426496","         49.33"
"ASIANPAINT","EQ","06-Dec-2018","       1329.50","       1324.00","       1324.95","       1286.60","       1293.50","       1295.10","       1301.01","     896350","          1166161698.50","      38202","     467778","         52.19"
"ASIANPAINT","EQ","07-Dec-2018","       1295.10","       1306.50","       1324.00","       1298.40","       1317.00","       1318.65","       1316.81","    1037026","          1365571084.95","      55736","     509098","         49.09"
"ASIANPAINT","EQ","10-Dec-2018","       1318.65","       1280.00","       1306.25","       1262.30","       1274.95","       1274.20","       1280.09","    1074399","          1375330243.05","      53169","     544675","         50.70"
"ASIANPAINT","EQ","11-Dec-2018","       1274.20","       1268.00","       1336.45","       1252.15","       1322.85","       1323.60","       1306.14","    1746513","          2281183386.65","     102741","     686387","         39.30"
"ASIANPAINT","EQ","12-Dec-2018","       1323.60","       1323.00","       1337.20","       1311.85","       1330.00","       1330.90","       1326.73","     986580","          1308929529.20","      35204","     424867","         43.06"
